Time (s),W,X,Y,Z
0.758403778,-0.3830873,-0.6282483,0.3908607,0.5499126
0.763459206,-0.3831165,-0.6281962,0.3908404,0.5499662
0.768514156,-0.3831473,-0.6281332,0.390806,0.5500411
0.773570538,-0.3831468,-0.6281101,0.3907459,0.5501105
0.778625488,-0.3831262,-0.628099,0.3906797,0.5501847
0.783680916,-0.3830784,-0.628087,0.3906074,0.5502829
0.788736343,-0.383011,-0.6280927,0.3905215,0.5503843
0.793791294,-0.3829202,-0.6281127,0.39043,0.5504896
0.798846722,-0.3828183,-0.6281341,0.3903464,0.5505951
0.803902149,-0.3827315,-0.6281421,0.3902612,0.5507069
0.808958054,-0.3826456,-0.6281512,0.3901773,0.5508158
0.814013481,-0.3825529,-0.6281722,0.3900946,0.5509146
0.819068909,-0.3824807,-0.6281896,0.3900186,0.5509987
0.824123859,-0.3824064,-0.62822,0.3899526,0.5510622
0.829179287,-0.3823383,-0.6282551,0.3898903,0.5511137
0.834234714,-0.3822961,-0.6282794,0.3898365,0.5511533
0.839289665,-0.382265,-0.6282963,0.3897879,0.5511901
0.841819286,-0.3822566,-0.6283001,0.3897709,0.5512035
0.846873283,-0.3822501,-0.6282967,0.3897418,0.5512325
0.851928234,-0.3822702,-0.6282838,0.3897156,0.5512518
0.856983662,-0.3822838,-0.6282716,0.3896967,0.5512694
0.862039566,-0.3823019,-0.6282545,0.3896746,0.5512921
0.867094994,-0.382314,-0.6282389,0.3896374,0.5513276
0.872150421,-0.3822844,-0.6282573,0.3895793,0.5513684
0.877205372,-0.3822726,-0.628268,0.3895215,0.5514053
0.882260799,-0.3822452,-0.6282956,0.3894579,0.5514377
0.887316227,-0.3821998,-0.6283472,0.3893886,0.5514594
0.892371654,-0.3821336,-0.6284193,0.3893135,0.5514759
0.897427559,-0.3820646,-0.6285012,0.3892371,0.5514845
0.902482986,-0.3819874,-0.6285838,0.3891615,0.5514972
0.907537937,-0.3819045,-0.6286752,0.3890849,0.5515045
0.912593365,-0.3818292,-0.6287666,0.3890114,0.5515043
0.917648792,-0.381788,-0.6288409,0.3889538,0.5514888
0.922703743,-0.3817559,-0.6289063,0.3889225,0.5514584
0.927759171,-0.3817259,-0.6289561,0.3888992,0.5514387
0.932815075,-0.3817103,-0.6289918,0.3888775,0.5514243
0.937870502,-0.3817191,-0.629003,0.388864,0.5514147
0.942925930,-0.3817359,-0.6290075,0.3888433,0.5514126
0.947980881,-0.3817498,-0.6290134,0.3888198,0.5514128
0.953036308,-0.3817454,-0.6290314,0.3887852,0.5514197
0.958091736,-0.3817285,-0.6290575,0.3887447,0.5514302
0.963147163,-0.3816981,-0.6290997,0.3886993,0.551435
0.968203068,-0.3816614,-0.6291413,0.3886486,0.5514487
0.973258495,-0.381614,-0.6291966,0.388581,0.5514661
0.978316307,-0.3815466,-0.6292697,0.3885062,0.5514821
0.983368874,-0.3814733,-0.6293347,0.388432,0.5515109
0.988424301,-0.3814034,-0.6294045,0.3883538,0.5515346
0.993483543,-0.3813189,-0.6294744,0.3882773,0.5515671
0.998534679,-0.3812562,-0.6295381,0.3881977,0.5515938
1.003590584,-0.3811783,-0.6296163,0.3881206,0.5516127
1.008646011,-0.3810995,-0.6296943,0.3880414,0.5516338
1.013701439,-0.3810036,-0.6297939,0.3879594,0.5516441
1.018756389,-0.3809205,-0.6298915,0.3878748,0.5516495
1.023811817,-0.3808589,-0.6299753,0.3877949,0.5516524
1.028867244,-0.3807916,-0.6300641,0.3877165,0.5516526
1.033922672,-0.380721,-0.6301581,0.3876279,0.5516562
1.038978576,-0.3806159,-0.6302786,0.3875387,0.5516538
1.044034004,-0.380543,-0.6303708,0.3874551,0.5516574
1.049088955,-0.3804762,-0.6304554,0.3873651,0.55167
1.054144382,-0.3803923,-0.6305449,0.3872652,0.5516957
1.059199810,-0.3803026,-0.6306334,0.3871582,0.5517315
1.064254761,-0.3802051,-0.6307224,0.3870441,0.551777
1.069310188,-0.3800713,-0.6308371,0.3869107,0.5518317
1.071838379,-0.379984,-0.6309062,0.3868347,0.551866
1.076893329,-0.3798074,-0.6310502,0.3866827,0.5519294
1.081948757,-0.3796161,-0.6311902,0.3865246,0.5520117
1.087004185,-0.3794029,-0.631348,0.3863579,0.5520945
1.092060089,-0.3792233,-0.6314667,0.3861912,0.5521986
1.097115516,-0.3790479,-0.6315879,0.3860264,0.552296
1.102170944,-0.3788765,-0.6316994,0.3858645,0.552399
1.107225895,-0.3787094,-0.631798,0.385716,0.5525046
1.112281322,-0.3785393,-0.6318949,0.3855822,0.5526035
1.117336750,-0.3783657,-0.6319947,0.3854381,0.5527089
1.122391701,-0.3782204,-0.6320656,0.385313,0.5528147
1.127448082,-0.3780979,-0.6321359,0.3851999,0.5528969
1.132503032,-0.3780015,-0.6321933,0.3851073,0.5529616
1.137558460,-0.3779473,-0.6322387,0.3850352,0.5529969
1.142613888,-0.3778908,-0.6322876,0.3849816,0.5530171
1.147668838,-0.3778397,-0.632338,0.3849342,0.5530273
1.152724266,-0.3777976,-0.6323844,0.384908,0.5530211
1.157779693,-0.3777989,-0.6324055,0.3848867,0.5530111
1.162835598,-0.37782,-0.6324216,0.3848799,0.5529831
1.167891025,-0.3778733,-0.6323977,0.3848861,0.5529696
1.172946453,-0.3779346,-0.6323634,0.3848936,0.5529615
1.178001404,-0.3780222,-0.6322976,0.3849164,0.5529611
1.183056831,-0.3781165,-0.6322087,0.3849606,0.5529675
1.188112259,-0.3782305,-0.6320898,0.3850225,0.5529824
1.193167209,-0.3783531,-0.6319383,0.3851049,0.5530143
1.198223591,-0.3784634,-0.6317763,0.3851987,0.5530587
1.203278541,-0.378584,-0.6315924,0.3853031,0.5531132
1.208333969,-0.3786798,-0.6314161,0.3854049,0.5531782
1.213389396,-0.3787838,-0.6312383,0.3855069,0.5532389
1.218444347,-0.3788651,-0.6310692,0.3856007,0.5533105
1.223499775,-0.3789413,-0.630918,0.385684,0.553373
1.228555202,-0.3789883,-0.6307861,0.3857609,0.5534375
1.233611584,-0.3790238,-0.6306717,0.3858222,0.5535008
1.238666534,-0.3790264,-0.6305802,0.385866,0.5535727
1.243721962,-0.37902,-0.6304961,0.3858901,0.5536561
1.248780250,-0.3789584,-0.6304556,0.3858989,0.5537382
1.253832340,-0.3788903,-0.6304291,0.3859001,0.5538139
1.258887768,-0.3787841,-0.6304395,0.3858998,0.5538752
1.263942718,-0.3786798,-0.6304497,0.3858835,0.5539462
1.268999100,-0.3785929,-0.6304273,0.3858657,0.5540435
1.274054050,-0.3785387,-0.6303689,0.3858527,0.5541561
1.279109478,-0.3785146,-0.6302852,0.3858323,0.5542819
1.284164905,-0.3785053,-0.6301782,0.3858163,0.5544211
1.289219856,-0.3785155,-0.6300469,0.3858055,0.5545706
1.294275284,-0.3785329,-0.6299037,0.3858049,0.5547221
1.299330711,-0.3785633,-0.629752,0.3858089,0.5548706
1.301858902,-0.3785799,-0.6296796,0.3858069,0.5549428
1.306913853,-0.3786009,-0.6295437,0.3858001,0.5550876
1.311969280,-0.3786643,-0.6293806,0.3858134,0.5552199
1.317024708,-0.3787253,-0.6292256,0.3858251,0.5553459
1.322084427,-0.3787872,-0.6290675,0.3858293,0.5554798
1.327136040,-0.3788352,-0.6289305,0.3858376,0.5555964
1.332190990,-0.3788991,-0.6287827,0.3858487,0.5557123
1.337246418,-0.3789678,-0.6286117,0.385875,0.5558408
1.342301845,-0.3790472,-0.6284395,0.3858723,0.5559831
1.347356796,-0.3791295,-0.6282482,0.3858581,0.5561531
1.352412224,-0.3792232,-0.6280219,0.3858382,0.5563585
1.357468128,-0.3793475,-0.6277513,0.3858079,0.5566003
1.362523556,-0.379498,-0.627439,0.3857709,0.5568752
1.367578983,-0.3796597,-0.6271106,0.3857238,0.5571676
1.372634411,-0.3798173,-0.6267744,0.3856707,0.5574752
1.377689361,-0.3799823,-0.6264158,0.3856275,0.5577955
1.382744789,-0.380141,-0.6260563,0.3855939,0.5581142
1.387800217,-0.3802843,-0.6257143,0.3855778,0.5584112
1.392856121,-0.3804182,-0.6253747,0.3855904,0.5586916
1.397911548,-0.3805345,-0.6250535,0.3856163,0.5589539
1.402966499,-0.3806272,-0.6247692,0.3856405,0.5591918
1.408021927,-0.3807083,-0.6245034,0.385654,0.5594242
1.413077354,-0.3807782,-0.6242669,0.3856387,0.5596512
1.418132305,-0.380835,-0.6240458,0.3856084,0.5598798
1.423187733,-0.3808178,-0.6238968,0.3855534,0.5600954
1.428243637,-0.3808384,-0.6237684,0.3854761,0.5602775
1.433299065,-0.3809472,-0.6235809,0.3853856,0.5604744
1.438354492,-0.3810939,-0.6233549,0.3852614,0.5607114
1.443409920,-0.3812203,-0.623134,0.3851256,0.5609645
1.448464870,-0.3813781,-0.622889,0.3850074,0.5612103
1.453523159,-0.3815312,-0.6226416,0.3849174,0.5614424
1.458575725,-0.3816608,-0.6224016,0.3847969,0.5617031
1.463631630,-0.3818011,-0.6221329,0.3846921,0.5619771
1.468687057,-0.3819612,-0.6218342,0.3846054,0.5622581
1.473742008,-0.3821183,-0.6215184,0.3845352,0.5625485
1.478797436,-0.382302,-0.6211677,0.3844813,0.5628479
1.483852863,-0.3825095,-0.620769,0.3844603,0.563161
1.488907814,-0.3827463,-0.6203259,0.3844603,0.5634882
1.493963241,-0.3829834,-0.6198444,0.3844821,0.563842
1.499018669,-0.3832418,-0.6193102,0.3845267,0.564223
1.504074573,-0.3835319,-0.6187035,0.3846042,0.5646385
1.509130001,-0.3838442,-0.6180351,0.3847069,0.5650882
1.514185429,-0.3841762,-0.6172982,0.3848321,0.5655824
1.519240379,-0.3845181,-0.6164913,0.3849695,0.5661365
1.524295807,-0.384874,-0.615612,0.3851091,0.5667561
1.526823997,-0.3850599,-0.6151453,0.385183,0.5670865
1.531878948,-0.385417,-0.6141533,0.3853394,0.5678121
1.536934376,-0.3857787,-0.6130779,0.385486,0.5686286
1.541989803,-0.3861162,-0.6119179,0.3856292,0.5695512
1.547044754,-0.3864131,-0.610682,0.3857602,0.5705867
1.552101135,-0.3866424,-0.6093852,0.3858852,0.5717322
1.557156086,-0.3868371,-0.607994,0.3859948,0.5730062
1.562211513,-0.3870306,-0.6064811,0.386113,0.5743974
1.567266941,-0.3871844,-0.6048767,0.3862372,0.5759001
1.572321892,-0.3873458,-0.6031407,0.3863762,0.5775169
1.577377319,-0.3874525,-0.6012981,0.3865341,0.5792584
1.582432747,-0.3875039,-0.599366,0.3866861,0.5811219
1.587488174,-0.3875884,-0.5972787,0.3868651,0.5830922
1.592544079,-0.3876671,-0.5950701,0.3870537,0.5851692
1.597599506,-0.3877582,-0.59272,0.3872672,0.5873486
1.602654457,-0.3878237,-0.5902606,0.3875153,0.5896141
1.607709885,-0.3878717,-0.5876688,0.3878074,0.5919747
