Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.303102493,1.331066,0.4720642,-0.417482,0.1158363,0.8874189,-0.3794193,-14.12053,-47.7656,13.91887,1001.997
0.308112144,1.699321,0.1694171,-0.3563462,0.1138313,0.8882394,-0.3741215,-14.12053,-47.7656,13.91887,1001.997
0.313122272,2.128953,-0.01217122,-0.417482,0.115374,0.889989,-0.3850919,-14.12053,-47.7656,13.91887,1001.997
0.318132400,2.128953,-0.2542889,-0.3563462,0.1134332,0.8884396,-0.3827666,-14.89585,-47.79263,14.82124,1001.997
0.323143005,2.497208,-0.2542889,-0.1729387,0.111514,0.8874473,-0.3833029,-14.89585,-47.79263,14.82124,1001.997
0.328152656,2.374456,-0.2542889,-0.2952103,0.1071359,0.8944087,-0.3912477,-14.89585,-47.79263,14.82124,1001.997
0.333162784,2.190328,-0.4358772,-0.2340745,0.1086627,0.8900627,-0.3923597,-14.89585,-47.79263,14.82124,1001.997
0.338172912,2.251704,-0.3753478,-0.05066701,0.1066633,0.8939254,-0.3917511,-14.89585,-47.79263,14.82124,1001.997
0.343183517,2.128953,-0.3753478,-0.2952103,0.1071281,0.891866,-0.3870201,-14.89585,-47.79263,14.82124,1001.997
0.348193168,2.128953,-0.7385244,-0.3563462,0.1100989,0.8875182,-0.3871575,-14.89585,-47.79263,14.82124,1001.997
0.353207111,2.435832,-0.6174655,-0.1729387,0.1095603,0.8919244,-0.3879559,-14.89585,-47.79263,14.82124,1001.997
0.358212948,2.619959,-0.6174655,-0.05066701,0.1120756,0.8886487,-0.3923814,-14.89585,-47.79263,14.82124,1001.997
0.363223076,2.865463,-1.16223,-0.1729387,0.1150228,0.8862637,-0.3929249,-14.89585,-47.79263,14.82124,1001.997
0.368237972,3.233718,-1.101701,-0.2340745,0.1145923,0.8818433,-0.3921361,-14.13259,-47.77732,14.83343,1001.997
0.373243809,3.663349,-1.16223,-0.05066701,0.1228359,0.8804656,-0.3906695,-14.13259,-47.77732,14.83343,1002.003
0.378253460,3.786101,-1.22276,0.01046882,0.1122172,0.8799027,-0.3941543,-14.13259,-47.77732,14.83343,1002.003
0.383263588,3.908852,-1.041172,-0.2952103,0.1131453,0.8793139,-0.389363,-14.13259,-47.77732,14.83343,1002.003
0.388273716,4.09298,-1.101701,-0.1118028,0.1137091,0.880016,-0.3979799,-14.13259,-47.77732,14.83343,1002.003
0.393284321,4.399859,-0.9806421,-0.1729387,0.1136422,0.8808649,-0.3926628,-14.13259,-47.77732,14.83343,1002.003
0.398293972,4.277108,-0.8595833,-0.1118028,0.1131678,0.8829013,-0.3964338,-14.13259,-47.77732,14.83343,1002.003
0.403304100,4.277108,-0.4358772,-0.1729387,0.1142343,0.879616,-0.4013537,-14.13259,-47.77732,14.83343,1002.003
0.408314228,4.215732,-0.7385244,-0.3563462,0.1132938,0.8786607,-0.4028404,-14.13259,-47.77732,14.83343,1002.003
0.413323879,4.338484,-0.3753478,-0.4786178,0.1112651,0.8804339,-0.3965455,-14.13259,-47.77732,14.83343,1002.001
0.418334484,4.031604,-0.5569361,-0.6620253,0.1146405,0.8829686,-0.3983394,-13.73503,-48.14296,14.37854,1002.001
0.423344612,4.277108,-0.4358772,-0.7231612,0.1191785,0.8728573,-0.4015643,-13.73503,-48.14296,14.37854,1002.001
0.428354263,3.970228,-0.1937595,-0.6620253,0.119034,0.8800824,-0.3974468,-13.73503,-48.14296,14.37854,1002.001
0.433364391,4.09298,-0.1332301,-0.7231612,0.11718,0.8807607,-0.406568,-13.73503,-48.14296,14.37854,1002.001
0.438374519,4.645363,-0.01217122,-0.9065686,0.120585,0.8768041,-0.4023619,-13.73503,-48.14296,14.37854,1002.001
0.443385124,4.583987,0.1694171,-0.8454328,0.1141732,0.8845171,-0.4021288,-13.73503,-48.14296,14.37854,1002.001
0.448394775,4.706739,0.1694171,-1.02884,0.1151346,0.8829987,-0.3992946,-13.73503,-48.14296,14.37854,1002.001
0.453404903,4.522611,0.2299465,-1.089976,0.1121607,0.8838052,-0.3940063,-13.73503,-48.14296,14.37854,1002.003
0.458415031,4.277108,0.2904759,-1.151112,0.1170442,0.8839681,-0.3977982,-13.73503,-48.14296,14.37854,1002.003
0.463424682,4.461236,0.5325937,-1.089976,0.1150859,0.889444,-0.4033743,-13.73503,-48.14296,14.37854,1002.003
0.468435287,4.154356,0.2904759,-1.151112,0.1122041,0.884919,-0.3997296,-15.28351,-47.80615,15.27243,1002.003
0.473447800,4.154356,0.2904759,-1.151112,0.1156108,0.8880337,-0.4053451,-15.28351,-47.80615,15.27243,1002.003
0.478455067,4.215732,0.4720642,-0.8454328,0.1184921,0.8905382,-0.4061837,-15.28351,-47.80615,15.27243,1002.003
0.483465195,3.908852,0.4720642,-1.089976,0.116953,0.8933403,-0.401767,-15.28351,-47.80615,15.27243,1002.003
0.488475323,3.540597,0.4720642,-1.151112,0.108718,0.8907002,-0.3985814,-15.28351,-47.80615,15.27243,1002.003
0.493485927,3.295094,0.7747114,-1.089976,0.1179099,0.8928205,-0.3998558,-15.28351,-47.80615,15.27243,1002.001
0.498495579,2.497208,0.6536525,-1.02884,0.1178791,0.8942609,-0.3988403,-15.28351,-47.80615,15.27243,1002.001
0.503501892,2.742711,0.7747114,-0.9677045,0.1188817,0.8943558,-0.4021908,-15.28351,-47.80615,15.27243,1002.001
0.508511543,2.435832,0.7747114,-0.7231612,0.1151187,0.8864941,-0.4025252,-15.28351,-47.80615,15.27243,1002.001
0.513522148,2.742711,0.4115348,-0.8454328,0.1188982,0.8928807,-0.4017662,-15.28351,-47.80615,15.27243,1002.001
0.518532276,2.742711,0.6536525,-0.6620253,0.1169836,0.8908896,-0.4013795,-14.52025,-47.79084,15.28461,1002.001
0.523541927,3.110966,0.5931231,-0.784297,0.1160236,0.8888781,-0.399543,-14.52025,-47.79084,15.28461,1002.001
0.528552055,2.926839,0.4720642,-0.784297,0.1135223,0.890168,-0.3937515,-14.52025,-47.79084,15.28461,1002.001
0.533562183,2.865463,0.4115348,-0.417482,0.1114686,0.8974339,-0.3925334,-14.52025,-47.79084,15.28461,1002.001
0.538572788,2.558583,0.4720642,-0.6008895,0.1116062,0.8917068,-0.3980355,-14.52025,-47.79084,15.28461,1002.001
0.543582439,2.681335,0.6536525,-0.4786178,0.1149816,0.8942415,-0.3998293,-14.52025,-47.79084,15.28461,1002.001
0.548592567,2.190328,0.1694171,-0.3563462,0.1180675,0.8805791,-0.398398,-14.52025,-47.79084,15.28461,1002.001
0.553602695,2.128953,0.04835821,-0.417482,0.1069241,0.8824366,-0.4013152,-14.52025,-47.79084,15.28461,1002.001
0.558612347,2.067577,0.04835821,-0.1118028,0.1128075,0.8811733,-0.4061129,-14.52025,-47.79084,15.28461,1002.001
0.563623905,1.944825,-0.1937595,0.01046882,0.1112855,0.8855309,-0.405481,-14.52025,-47.79084,15.28461,1002.001
0.568633079,2.128953,-0.3148184,0.01046882,0.1108606,0.8841525,-0.4093814,-14.52412,-47.40583,14.83103,1002.001
0.573643207,1.944825,-0.5569361,0.1327405,0.1075162,0.8811875,-0.4100061,-14.52412,-47.40583,14.83103,1002.001
0.578652859,2.128953,-0.5569361,0.1938763,0.1132799,0.8806465,-0.4042065,-14.52412,-47.40583,14.83103,1002.001
0.583662987,1.883449,-0.6174655,0.1938763,0.1093237,0.8864551,-0.4045032,-14.52412,-47.40583,14.83103,1002.001
0.588673592,1.883449,-0.677995,0.316148,0.1121586,0.8853147,-0.395871,-14.52412,-47.40583,14.83103,1002.001
0.593683243,1.392442,-0.677995,0.3772838,0.1068524,0.883274,-0.395518,-14.52412,-47.40583,14.83103,1002.001
0.598693371,1.146939,-0.7990538,0.07160465,0.1096585,0.8916554,-0.3970948,-14.52412,-47.40583,14.83103,1002.001
0.603703499,1.024187,-0.3753478,-0.05066701,0.1130019,0.8905796,-0.3908578,-14.52412,-47.40583,14.83103,1002.001
0.608717441,0.7786835,-0.2542889,-0.2340745,0.1072089,0.8890312,-0.3909712,-14.52412,-47.40583,14.83103,1002.001
0.613723755,0.8400594,0.1694171,-0.5397537,0.1132766,0.8771051,-0.3990557,-14.52412,-47.40583,14.83103,1001.999
0.618733883,1.085563,0.4115348,-0.7231612,0.1141429,0.8783869,-0.3908303,-14.53618,-47.41755,15.74558,1001.999
0.623744011,1.699321,0.714182,-1.089976,0.1155432,0.8762611,-0.3827295,-14.53618,-47.41755,15.74558,1001.999
0.628753662,2.067577,0.8352408,-1.151112,0.1209759,0.8760815,-0.3922952,-14.53618,-47.41755,15.74558,1001.999
0.633763790,2.374456,0.6536525,-1.212248,0.1219429,0.8776052,-0.3941502,-14.53618,-47.41755,15.74558,1001.999
0.638774395,2.804087,0.714182,-1.395655,0.1219545,0.8761187,-0.3932456,-14.53618,-47.41755,15.74558,1001.999
0.643784046,3.295094,0.7747114,-1.212248,0.1242478,0.8864443,-0.3947533,-14.53618,-47.41755,15.74558,1001.999
0.648794174,3.540597,0.714182,-1.151112,0.1260677,0.8932559,-0.392555,-14.53618,-47.41755,15.74558,1001.999
0.653804302,3.601973,0.5931231,-1.212248,0.1236189,0.8936623,-0.3906406,-14.53618,-47.41755,15.74558,1001.999
0.658813953,3.970228,0.8352408,-1.640199,0.1211801,0.896112,-0.3924924,-14.53618,-47.41755,15.74558,1001.999
0.663824558,4.829491,1.258947,-2.251557,0.1248684,0.8842542,-0.4049213,-14.53618,-47.41755,15.74558,1001.999
0.668836117,6.425263,1.440535,-2.862915,0.1192678,0.8755958,-0.4139524,-13.76086,-47.39051,14.84321,1001.999
0.673844814,7.223149,1.077358,-2.80178,0.1203727,0.8724026,-0.4227124,-13.76086,-47.39051,14.84321,1001.999
0.678854465,7.100397,0.714182,-2.251557,0.1279768,0.8741792,-0.4105608,-13.76086,-47.39051,14.84321,1001.999
0.683864593,5.934256,0.1694171,-2.06815,0.1292889,0.8839567,-0.4101765,-13.76086,-47.39051,14.84321,1001.999
0.688875198,4.338484,-0.1332301,-1.945878,0.1241912,0.8903468,-0.3946053,-13.76086,-47.39051,14.84321,1001.999
0.693884849,2.374456,0.1694171,-1.884742,0.1217593,0.8912985,-0.3950725,-13.76086,-47.39051,14.84321,1001.999
0.698894977,1.085563,0.8352408,-2.434964,0.1222173,0.8907372,-0.391726,-13.76086,-47.39051,14.84321,1001.999
0.703900814,1.57657,1.682653,-3.046323,0.1131582,0.8828782,-0.3954737,-13.76086,-47.39051,14.84321,1001.999
0.708911419,2.865463,1.92477,-3.474274,0.1051388,0.8701553,-0.3993967,-13.76086,-47.39051,14.84321,1001.999
0.713924885,4.461236,1.622123,-3.046323,0.11214,0.8596722,-0.4059761,-13.77293,-47.40224,15.75777,1001.999
0.718931675,5.566001,0.6536525,-2.312693,0.1229438,0.8526028,-0.4099874,-13.77293,-47.40224,15.75777,1001.999
0.723941326,6.17976,-0.1332301,-1.701334,0.1317153,0.8523461,-0.4142392,-13.77293,-47.40224,15.75777,1001.999
0.728953361,6.363887,-0.6174655,-1.089976,0.1339152,0.8629522,-0.407088,-13.77293,-47.40224,15.75777,1001.999
0.733962059,5.566001,-0.7990538,-0.7231612,0.1284398,0.8746395,-0.4090974,-13.77293,-47.40224,15.75777,1001.998
0.738971710,4.768115,-1.16223,-0.7231612,0.1248661,0.8847535,-0.4053828,-13.77293,-47.40224,15.75777,1001.998
0.743983269,4.031604,-0.7385244,-0.7231612,0.1208691,0.8899592,-0.4008978,-13.77293,-47.40224,15.75777,1001.998
